signal id;x;y;time;signal state
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25270.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25270.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25270.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25290.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25290.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25300.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25300.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25300.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25380.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25380.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25380.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25400.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25400.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25410.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25410.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25410.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25490.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25490.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25490.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25510.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25510.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25520.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25520.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25520.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25600.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25600.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25600.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25620.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25620.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25630.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25630.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25630.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25710.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25710.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25710.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25730.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25730.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25740.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25740.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25740.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25820.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25820.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25820.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25840.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25840.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25850.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25850.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25850.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25930.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25930.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25930.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25950.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25950.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25960.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25960.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25960.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26040.0;RED
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26040.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26040.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26060.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26060.0;GREEN
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26070.0;GREEN
