Nome da rota,Acessibilidade da rota
cidade-oeste_teatro-municipal-dix-huit-rosado,1.0
partage-shopping_alto-das-brisas,1.0
odete-rosado_cidade-oeste,1.0
odete-rosado_alto-das-brisas,1.0
sumare_alto-das-brisas,1.0
nova-vida_cidade-oeste,1.0
nova-vida_alto-das-brisas,1.0
nova-mossoro_odete-rosado,1.0
nova-mossoro_alto-das-brisas,1.0
cidade-oeste_sumare,1.0
cidade-oeste_partage-shopping,1.0
cidade-oeste_nova-vida,1.0
cidade-oeste_nova-mossoro,1.0
cidade-oeste_bom-pastor,1.0
cidade-oeste_abolicao-5,1.0
partage-shopping_cidade-oeste,1.0
alto-das-brisas_odete-rosado,1.0
teatro-municipal-dix-huit-rosado_cidade-oeste,1.0
alto-das-brisas_abolicao-5,1.0
abolicao-5_cidade-oeste,1.0
alto-das-brisas_bom-pastor,1.0
teatro-municipal-dix-huit-rosado_alto-das-brisas,1.0
alto-das-brisas_nova-mossoro,1.0
alto-das-brisas_partage-shopping,1.099472075576549
odete-rosado_teatro-municipal-dix-huit-rosado,1.2973048068908026
odete-rosado_partage-shopping,1.3191489361702131
odete-rosado_bom-pastor,1.32975338106603
odete-rosado_nova-vida,1.562271897810219
alto-das-brisas_teatro-municipal-dix-huit-rosado,1.7160322311753264
alto-das-brisas_nova-vida,1.7507641011392054
alto-das-brisas_sumare,1.7906414762741654
bom-pastor_partage-shopping,1.864625302175665
nova-mossoro_bom-pastor,1.9267088412282054
abolicao-5_odete-rosado,1.930863145939807
bom-pastor_odete-rosado,1.9309023836549377
odete-rosado_sumare,1.9311634044424895
sumare_odete-rosado,1.9314310051107326
odete-rosado_abolicao-5,1.9826162538026946
odete-rosado_nova-mossoro,2.192153284671533
nova-mossoro_sumare,2.197109654350417
partage-shopping_odete-rosado,2.340224453632605
sumare_bom-pastor,2.534375
sumare_nova-mossoro,2.6521948286229704
bom-pastor_nova-mossoro,2.6523780854906684
bom-pastor_nova-vida,2.680187873612297
nova-mossoro_abolicao-5,2.920194559538822
sumare_partage-shopping,3.077660594439118
sumare_teatro-municipal-dix-huit-rosado,3.196165601555988
nova-mossoro_nova-vida,3.2184015960568013
bom-pastor_sumare,3.244258872651357
nova-vida_nova-mossoro,3.4595832165218203
nova-vida_odete-rosado,3.5516027422642207
sumare_abolicao-5,3.5959455706748127
abolicao-5_bom-pastor,3.5961115187087307
partage-shopping_nova-mossoro,3.644586294110563
abolicao-5_nova-mossoro,3.646144578313253
bom-pastor_abolicao-5,3.913043478260869
nova-vida_sumare,3.9263171794533207
abolicao-5_teatro-municipal-dix-huit-rosado,4.065141527723925
teatro-municipal-dix-huit-rosado_nova-mossoro,4.230510375771173
nova-vida_bom-pastor,4.362793176972281
partage-shopping_bom-pastor,4.44022594684693
teatro-municipal-dix-huit-rosado_odete-rosado,4.537442075996292
nova-mossoro_partage-shopping,4.603035714285715
nova-mossoro_teatro-municipal-dix-huit-rosado,4.69154551347347
partage-shopping_abolicao-5,4.74409558210614
partage-shopping_nova-vida,4.813884050758896
abolicao-5_sumare,4.88986380303824
nova-vida_abolicao-5,5.280287984111221
teatro-municipal-dix-huit-rosado_sumare,5.282748825521688
sumare_nova-vida,5.437355310676914
nova-vida_partage-shopping,5.4744693057946066
teatro-municipal-dix-huit-rosado_bom-pastor,5.583108528740402
teatro-municipal-dix-huit-rosado_nova-vida,5.599009900990099
partage-shopping_sumare,5.63278614796492
partage-shopping_teatro-municipal-dix-huit-rosado,5.690528034839413
abolicao-5_partage-shopping,5.697623285519841
nova-vida_teatro-municipal-dix-huit-rosado,5.769004282655246
bom-pastor_teatro-municipal-dix-huit-rosado,5.795782806827837
abolicao-5_nova-vida,5.925896882964124
teatro-municipal-dix-huit-rosado_abolicao-5,6.220570012391573
teatro-municipal-dix-huit-rosado_partage-shopping,6.3752151462994835
