person,Tempo médio de viagem,Tempo médio de espera,Mediana do tempo de viagem,Mediana do tempo de espera,Viagem mais demorada,Viagem mais curta,Viagem com mais espera,Viagem com menos espera,Quantidade de viagens
abolicao-5_bom-pastor,01:46:02,01:01:10,01:51:54,01:08:37,02:14:48,01:18:05,01:19:14,00:38:45,17
abolicao-5_cidade-oeste,01:29:41,00:58:06,01:29:41,00:58:06,01:44:36,01:14:47,01:08:06,00:48:07,2
abolicao-5_nova-mossoro,01:39:50,00:57:52,01:46:41,01:01:16,02:04:25,01:04:37,01:16:28,00:31:50,13
abolicao-5_nova-vida,01:15:36,00:34:49,01:12:50,00:34:28,02:08:12,00:44:12,01:05:21,00:01:34,32
abolicao-5_odete-rosado,01:37:21,00:59:07,01:37:24,00:59:07,01:54:26,01:20:12,01:16:21,00:41:52,4
abolicao-5_partage-shopping,01:18:48,00:50:19,01:20:02,00:51:18,01:50:21,00:35:13,01:21:08,00:06:10,24
abolicao-5_sumare,01:17:56,00:44:22,01:24:40,00:51:28,01:54:33,00:37:21,01:21:31,00:01:33,21
abolicao-5_teatro-municipal-dix-huit-rosado,00:39:59,00:24:47,00:39:09,00:23:59,01:31:36,00:16:28,01:16:18,00:01:24,34
alto-das-brisas_abolicao-5,01:50:45,01:11:21,01:50:45,01:11:21,01:50:45,01:50:45,01:11:21,01:11:21,1
alto-das-brisas_bom-pastor,01:57:57,01:20:01,01:57:57,01:20:01,01:57:57,01:57:57,01:20:01,01:20:01,1
alto-das-brisas_nova-vida,01:16:27,00:47:16,01:16:27,00:47:16,01:46:26,00:46:28,01:17:07,00:17:25,3
alto-das-brisas_partage-shopping,01:26:22,01:04:02,01:26:22,01:04:02,01:41:27,01:11:18,01:20:48,00:47:17,2
alto-das-brisas_sumare,01:30:52,00:53:19,01:30:52,00:53:19,01:30:52,01:30:52,00:53:19,00:53:19,1
alto-das-brisas_teatro-municipal-dix-huit-rosado,01:00:56,00:40:40,01:00:56,00:40:40,01:30:55,00:30:57,01:10:31,00:10:49,3
bom-pastor_abolicao-5,01:28:27,00:48:37,01:31:27,00:55:38,02:12:51,01:00:36,01:15:36,00:02:03,21
bom-pastor_cidade-oeste,01:29:37,01:02:39,01:29:37,01:02:39,01:44:37,01:14:38,01:17:36,00:47:42,2
bom-pastor_nova-mossoro,01:35:14,00:49:11,01:46:42,00:53:06,02:00:31,00:48:31,01:11:03,00:09:04,11
bom-pastor_nova-vida,01:16:59,00:46:02,01:13:23,00:44:24,01:59:20,00:38:17,01:19:39,00:12:44,26
bom-pastor_odete-rosado,01:15:42,00:48:58,01:24:36,00:56:01,01:26:15,00:56:16,01:00:23,00:30:30,3
bom-pastor_partage-shopping,01:12:50,00:52:10,01:14:17,00:51:39,01:49:46,00:23:19,01:21:35,00:09:40,22
bom-pastor_sumare,01:18:47,00:48:56,01:24:42,00:46:26,02:08:57,00:30:55,01:16:21,00:07:00,19
bom-pastor_teatro-municipal-dix-huit-rosado,00:44:03,00:32:47,00:41:54,00:30:15,01:30:11,00:05:48,01:02:04,00:00:06,26
cidade-oeste_abolicao-5,01:36:36,00:56:19,01:36:36,00:56:19,01:37:40,01:35:32,00:57:11,00:55:27,2
cidade-oeste_bom-pastor,01:38:49,01:00:12,01:38:49,01:00:12,01:53:49,01:23:50,01:15:09,00:45:15,2
cidade-oeste_nova-mossoro,01:49:19,01:05:27,01:49:19,01:05:27,01:49:19,01:49:19,01:05:27,01:05:27,1
cidade-oeste_nova-vida,01:21:52,00:51:02,01:21:52,00:51:02,01:40:29,01:03:15,01:09:36,00:32:28,4
cidade-oeste_odete-rosado,01:39:31,01:05:39,01:39:31,01:05:39,01:54:31,01:24:32,01:20:36,00:50:42,2
cidade-oeste_partage-shopping,01:26:16,01:01:16,01:26:16,01:01:16,01:32:10,01:20:23,01:07:08,00:55:25,2
cidade-oeste_sumare,01:14:13,00:45:09,01:14:13,00:45:09,01:30:59,00:57:28,01:01:40,00:28:39,4
cidade-oeste_teatro-municipal-dix-huit-rosado,01:01:20,00:43:20,01:02:59,00:45:01,01:40:13,00:33:00,01:22:01,00:15:10,5
nova-mossoro_abolicao-5,01:39:17,00:52:50,01:37:50,00:51:29,02:07:53,01:00:43,01:21:04,00:14:20,15
nova-mossoro_bom-pastor,01:50:30,00:52:41,01:51:57,00:57:04,02:14:51,01:14:00,01:22:15,00:22:33,9
nova-mossoro_cidade-oeste,01:29:47,00:51:10,01:29:47,00:51:10,01:44:48,01:14:46,01:06:05,00:36:15,2
nova-mossoro_nova-vida,01:36:13,00:46:33,01:32:58,00:45:31,02:22:25,00:54:17,01:22:22,00:07:03,16
nova-mossoro_odete-rosado,01:39:39,00:49:35,01:39:39,00:49:35,01:54:39,01:24:40,01:04:32,00:34:38,2
nova-mossoro_partage-shopping,01:25:30,00:45:44,01:23:22,00:43:27,02:02:14,00:50:03,01:20:51,00:12:21,18
nova-mossoro_sumare,01:46:29,01:01:03,01:46:57,01:01:40,02:04:47,01:24:38,01:19:32,00:39:09,7
nova-mossoro_teatro-municipal-dix-huit-rosado,01:06:23,00:39:08,01:04:37,00:37:19,01:44:20,00:32:37,01:17:01,00:05:25,19
nova-vida_abolicao-5,01:16:28,00:39:08,01:13:02,00:36:14,02:05:04,00:48:26,01:21:16,00:11:53,29
nova-vida_bom-pastor,01:25:16,00:46:39,01:28:02,00:46:55,02:03:01,00:48:03,01:18:40,00:12:55,23
nova-vida_cidade-oeste,01:14:42,00:45:59,01:14:42,00:45:58,01:44:41,00:44:45,01:15:52,00:16:07,3
nova-vida_nova-mossoro,01:27:18,00:46:48,01:24:52,00:44:26,02:00:38,00:47:04,01:20:16,00:06:30,16
nova-vida_odete-rosado,01:24:22,00:52:25,01:25:20,00:54:27,01:54:33,00:54:41,01:15:06,00:25:58,6
nova-vida_partage-shopping,00:53:20,00:32:43,00:51:53,00:30:44,01:20:30,00:26:20,00:59:08,00:05:04,24
nova-vida_sumare,01:22:29,00:49:46,01:27:32,00:50:29,02:07:16,00:47:09,01:20:27,00:20:33,21
nova-vida_teatro-municipal-dix-huit-rosado,00:37:39,00:16:19,00:29:46,00:11:51,01:32:51,00:18:46,00:54:09,00:00:51,32
odete-rosado_abolicao-5,01:26:20,00:48:13,01:33:37,00:53:00,01:50:47,00:50:49,01:13:11,00:13:21,5
odete-rosado_bom-pastor,01:32:23,00:57:05,01:28:00,00:51:55,01:58:05,00:58:01,01:21:44,00:22:00,5
odete-rosado_cidade-oeste,01:29:43,01:00:17,01:29:43,01:00:17,01:44:43,01:14:44,01:15:13,00:45:21,2
odete-rosado_nova-mossoro,01:49:33,01:08:25,01:49:33,01:08:25,01:49:33,01:49:33,01:08:25,01:08:25,1
odete-rosado_nova-vida,01:13:17,00:44:04,01:19:27,00:48:32,01:40:35,00:28:20,01:13:27,00:01:27,6
odete-rosado_partage-shopping,01:20:53,00:57:33,01:20:32,00:58:30,01:49:51,00:41:23,01:21:51,00:19:14,5
odete-rosado_sumare,01:23:26,00:53:01,01:27:34,00:59:51,01:59:55,00:57:35,01:19:00,00:30:00,5
odete-rosado_teatro-municipal-dix-huit-rosado,01:00:37,00:40:21,01:04:35,00:45:48,01:42:58,00:19:45,01:18:54,00:01:06,7
partage-shopping_abolicao-5,01:25:41,00:52:33,01:26:46,00:56:13,01:50:43,00:56:05,01:15:45,00:22:56,20
partage-shopping_bom-pastor,01:32:25,00:57:08,01:31:51,00:57:37,02:02:57,00:59:47,01:18:37,00:26:44,12
partage-shopping_nova-mossoro,01:40:01,01:01:18,01:46:39,01:07:59,02:00:32,01:16:40,01:22:02,00:38:04,9
partage-shopping_nova-vida,01:09:36,00:41:12,01:11:15,00:39:55,01:52:27,00:34:22,01:14:11,00:09:04,25
partage-shopping_odete-rosado,01:38:11,01:11:09,01:38:11,01:11:09,01:50:10,01:26:12,01:21:37,01:00:41,2
partage-shopping_sumare,01:14:59,00:51:26,01:16:52,00:53:16,01:38:45,00:39:01,01:15:09,00:15:25,13
partage-shopping_teatro-municipal-dix-huit-rosado,00:35:22,00:29:51,00:35:01,00:29:31,01:09:54,00:06:36,01:04:19,00:01:09,26
sumare_abolicao-5,01:31:26,00:52:00,01:31:06,00:51:34,02:01:31,00:48:28,01:21:58,00:09:09,18
sumare_bom-pastor,01:39:43,00:59:46,01:39:50,00:57:46,02:05:50,01:13:51,01:19:51,00:35:40,10
sumare_cidade-oeste,01:29:39,00:58:05,01:29:39,00:58:05,01:44:39,01:14:40,01:13:02,00:43:09,2
sumare_nova-mossoro,01:43:40,01:00:00,01:48:54,01:04:34,02:04:32,01:17:03,01:20:59,00:33:15,11
sumare_nova-vida,01:09:13,00:45:07,01:10:28,00:42:04,01:41:38,00:33:24,01:22:15,00:07:42,25
sumare_odete-rosado,01:35:03,00:58:28,01:26:10,01:00:47,01:54:29,01:24:30,01:12:16,00:42:23,3
sumare_partage-shopping,01:16:59,00:54:44,01:20:24,00:59:28,01:41:19,00:38:26,01:17:21,00:17:36,15
sumare_teatro-municipal-dix-huit-rosado,01:03:20,00:42:20,01:06:42,00:45:39,01:43:09,00:20:56,01:22:01,00:00:10,24
teatro-municipal-dix-huit-rosado_abolicao-5,00:51:46,00:22:54,00:48:30,00:18:59,01:35:06,00:25:39,01:09:57,00:00:02,36
teatro-municipal-dix-huit-rosado_bom-pastor,01:09:08,00:40:37,01:05:26,00:35:56,01:35:57,00:35:59,01:11:36,00:11:38,24
teatro-municipal-dix-huit-rosado_cidade-oeste,00:44:51,00:33:17,00:44:51,00:33:17,01:14:50,00:14:52,01:03:16,00:03:18,3
teatro-municipal-dix-huit-rosado_nova-mossoro,01:15:41,00:41:06,01:18:38,00:43:28,01:50:03,00:34:29,01:15:31,00:00:04,19
teatro-municipal-dix-huit-rosado_nova-vida,00:52:48,00:26:48,00:46:22,00:20:25,01:52:26,00:20:27,01:20:25,00:00:33,35
teatro-municipal-dix-huit-rosado_odete-rosado,01:10:27,00:46:58,01:10:20,00:48:47,01:26:31,00:54:38,01:10:38,00:19:40,4
teatro-municipal-dix-huit-rosado_partage-shopping,00:40:55,00:29:50,00:39:46,00:29:43,01:26:52,00:11:07,01:10:27,00:01:08,26
teatro-municipal-dix-huit-rosado_sumare,01:03:37,00:44:51,01:02:14,00:44:08,01:38:43,00:24:44,01:20:35,00:06:43,28
