person,Tempo médio de viagem,Tempo médio de espera,Mediana do tempo de viagem,Mediana do tempo de espera,Viagem mais demorada,Viagem mais curta,Viagem com mais espera,Viagem com menos espera,Quantidade de viagens
abolicao-5_bom-pastor,01:50:44,01:09:12,01:59:43,01:17:18,02:05:38,01:17:52,01:23:22,00:38:50,4
abolicao-5_cidade-oeste,01:38:03,01:01:36,01:38:03,01:01:36,01:38:03,01:38:03,01:01:36,01:01:36,1
abolicao-5_nova-mossoro,01:29:42,00:50:05,01:29:42,00:50:05,01:30:12,01:29:13,00:57:41,00:42:30,2
abolicao-5_nova-vida,01:10:16,00:31:45,01:03:14,00:28:31,01:33:21,00:57:14,00:46:27,00:11:35,7
abolicao-5_odete-rosado,01:53:26,01:15:30,01:53:26,01:15:30,01:57:30,01:49:23,01:19:31,01:11:30,2
abolicao-5_partage-shopping,01:16:50,00:48:35,01:22:58,00:54:17,01:49:14,00:47:13,01:20:19,00:20:27,7
abolicao-5_sumare,01:17:14,00:44:20,01:15:29,00:42:33,01:38:29,00:59:31,01:05:31,00:26:44,4
abolicao-5_teatro-municipal-dix-huit-rosado,00:39:31,00:24:22,00:40:16,00:25:07,01:01:22,00:18:23,00:46:18,00:03:18,8
alto-das-brisas_abolicao-5,01:50:34,01:11:29,01:50:34,01:11:29,01:50:34,01:50:34,01:11:29,01:11:29,1
alto-das-brisas_bom-pastor,01:57:48,01:20:18,01:57:48,01:20:18,01:57:48,01:57:48,01:20:18,01:20:18,1
alto-das-brisas_nova-vida,01:08:48,00:39:49,01:08:48,00:39:49,01:16:17,01:01:20,00:47:20,00:32:19,2
alto-das-brisas_odete-rosado,01:27:37,00:56:09,01:27:37,00:56:09,01:57:37,00:57:38,01:26:05,00:26:13,2
alto-das-brisas_partage-shopping,01:25:09,01:04:38,01:41:10,01:20:49,01:47:08,00:47:09,01:26:29,00:26:38,3
alto-das-brisas_sumare,02:00:30,01:23:33,02:00:30,01:23:33,02:00:30,02:00:30,01:23:33,01:23:33,1
alto-das-brisas_teatro-municipal-dix-huit-rosado,01:08:51,00:48:41,01:00:13,00:40:22,01:43:10,00:43:11,01:22:46,00:22:55,3
bom-pastor_abolicao-5,01:32:52,00:49:15,01:35:22,00:43:34,01:50:30,01:15:00,01:15:50,00:32:10,6
bom-pastor_nova-mossoro,01:59:39,00:54:45,01:59:39,00:54:45,02:30:10,01:29:09,01:23:11,00:26:19,2
bom-pastor_nova-vida,01:29:24,00:48:23,01:35:14,00:52:15,01:59:18,00:41:14,01:12:49,00:15:54,7
bom-pastor_odete-rosado,01:53:27,00:56:19,01:53:27,00:56:19,01:57:31,01:49:24,01:00:19,00:52:19,2
bom-pastor_partage-shopping,01:26:31,01:03:46,01:32:04,01:09:32,01:49:15,00:47:12,01:21:48,00:33:36,5
bom-pastor_sumare,01:23:45,00:46:39,01:30:25,00:46:20,01:59:27,00:38:33,01:07:23,00:15:00,5
bom-pastor_teatro-municipal-dix-huit-rosado,00:56:36,00:38:35,00:59:32,00:34:31,01:11:32,00:19:29,01:01:48,00:13:45,7
cidade-oeste_abolicao-5,01:37:26,00:57:24,01:37:26,00:57:24,01:37:26,01:37:26,00:57:24,00:57:24,1
cidade-oeste_bom-pastor,02:01:42,01:23:22,02:01:42,01:23:22,02:01:42,02:01:42,01:23:22,01:23:22,1
cidade-oeste_nova-vida,01:03:13,00:32:32,01:03:13,00:32:32,01:03:13,01:03:13,00:32:32,00:32:32,1
cidade-oeste_partage-shopping,01:32:02,01:07:21,01:32:02,01:07:21,01:32:02,01:32:02,01:07:21,01:07:21,1
cidade-oeste_sumare,01:00:35,00:31:39,01:00:35,00:31:39,01:00:35,01:00:35,00:31:39,00:31:39,1
cidade-oeste_teatro-municipal-dix-huit-rosado,01:10:04,00:52:05,01:10:04,00:52:05,01:40:04,00:40:05,01:22:01,00:22:10,2
nova-mossoro_abolicao-5,01:43:29,00:57:26,01:42:39,00:56:19,02:07:17,01:05:00,01:24:01,00:24:07,5
nova-mossoro_alto-das-brisas,01:22:23,00:40:08,01:22:23,00:40:08,01:22:23,01:22:23,00:40:08,00:40:08,1
nova-mossoro_bom-pastor,01:37:44,00:45:10,01:37:44,00:45:10,02:01:45,01:13:43,01:07:22,00:22:59,2
nova-mossoro_nova-vida,01:39:47,00:49:47,01:38:17,00:51:35,02:22:19,01:00:17,01:22:32,00:13:28,4
nova-mossoro_odete-rosado,01:57:28,01:07:28,01:57:28,01:07:28,01:57:28,01:57:28,01:07:28,01:07:28,1
nova-mossoro_partage-shopping,01:20:56,00:41:38,01:32:06,00:51:22,01:49:19,00:49:20,01:11:58,00:12:04,5
nova-mossoro_sumare,01:38:28,00:53:29,01:38:28,00:53:29,01:38:28,01:38:28,00:53:29,00:53:29,1
nova-mossoro_teatro-municipal-dix-huit-rosado,01:00:55,00:33:53,01:04:14,00:37:10,01:37:04,00:32:13,01:10:01,00:05:10,5
nova-vida_abolicao-5,01:13:23,00:37:53,01:11:52,00:35:29,01:42:34,00:50:38,01:06:07,00:14:10,6
nova-vida_alto-das-brisas,01:22:24,01:01:26,01:22:24,01:01:26,01:22:24,01:22:24,01:01:26,01:01:26,1
nova-vida_bom-pastor,01:17:47,00:42:59,01:13:41,00:38:58,01:57:47,00:57:52,01:22:55,00:23:01,5
nova-vida_cidade-oeste,00:44:13,00:15:56,00:44:13,00:15:56,00:44:13,00:44:13,00:15:56,00:15:56,1
nova-vida_nova-mossoro,01:12:30,00:32:29,01:18:59,00:38:59,01:29:11,00:49:22,00:49:04,00:09:26,3
nova-vida_odete-rosado,01:07:04,00:35:49,00:56:00,00:27:26,01:49:21,00:46:54,01:10:21,00:18:04,4
nova-vida_partage-shopping,00:47:24,00:27:30,00:48:34,00:29:15,00:57:56,00:32:08,00:36:59,00:14:32,6
nova-vida_sumare,01:37:51,01:05:11,01:38:26,01:04:14,02:00:27,01:00:39,01:26:16,00:33:42,5
nova-vida_teatro-municipal-dix-huit-rosado,00:44:03,00:21:55,00:30:46,00:12:51,01:28:58,00:26:42,00:54:09,00:08:51,8
odete-rosado_abolicao-5,01:29:17,00:51:38,01:37:58,00:59:53,01:50:35,00:50:36,01:13:20,00:13:25,4
odete-rosado_alto-das-brisas,01:22:27,01:05:37,01:22:27,01:05:37,01:22:27,01:22:27,01:05:37,01:05:37,1
odete-rosado_bom-pastor,01:27:50,00:52:08,01:27:50,00:52:08,01:57:51,00:57:50,01:22:03,00:22:13,2
odete-rosado_cidade-oeste,01:38:12,01:04:43,01:38:12,01:04:43,01:38:12,01:38:12,01:04:43,01:04:43,1
odete-rosado_nova-vida,01:18:30,00:49:02,01:28:15,00:54:23,01:41:20,00:28:16,01:14:30,00:01:26,5
odete-rosado_partage-shopping,01:31:18,01:08:36,01:41:07,01:19:10,01:49:17,00:41:08,01:24:59,00:19:16,5
odete-rosado_sumare,01:32:54,01:01:34,01:38:35,01:10:56,01:59:29,01:00:38,01:20:45,00:33:01,3
odete-rosado_teatro-municipal-dix-huit-rosado,01:03:58,00:44:33,01:11:49,00:50:57,01:19:32,00:19:33,01:00:48,00:00:57,5
partage-shopping_abolicao-5,01:18:54,00:45:05,01:18:24,00:44:05,01:50:32,00:50:33,01:15:44,00:15:53,9
partage-shopping_alto-das-brisas,01:22:21,01:01:50,01:22:21,01:01:50,01:22:21,01:22:21,01:01:50,01:01:50,1
partage-shopping_bom-pastor,01:12:15,00:44:19,01:13:39,00:40:53,01:57:45,00:34:22,01:24:32,00:24:39,5
partage-shopping_cidade-oeste,01:38:02,01:11:20,01:38:02,01:11:20,01:38:02,01:38:02,01:11:20,01:11:20,1
partage-shopping_nova-mossoro,01:29:39,00:51:35,01:29:39,00:51:35,01:30:11,01:29:08,00:52:08,00:51:03,2
partage-shopping_nova-vida,01:12:22,00:37:37,01:11:15,00:33:11,01:48:12,00:41:13,01:22:51,00:16:10,9
partage-shopping_odete-rosado,01:23:27,00:55:14,01:23:27,00:55:14,01:49:22,00:57:33,01:21:13,00:29:16,2
partage-shopping_sumare,01:09:52,00:43:27,01:06:11,00:36:42,01:38:25,00:38:32,01:15:10,00:15:17,6
partage-shopping_teatro-municipal-dix-huit-rosado,00:30:54,00:22:52,00:24:28,00:19:01,01:09:37,00:08:23,01:04:01,00:03:01,9
sumare_abolicao-5,01:38:29,00:59:42,01:37:58,00:59:43,01:50:37,01:27:24,01:11:23,00:48:02,4
sumare_alto-das-brisas,01:22:25,00:58:36,01:22:25,00:58:36,01:22:25,01:22:25,00:58:36,00:58:36,1
sumare_bom-pastor,01:35:44,00:58:06,01:35:44,00:58:06,01:57:49,01:13:40,01:20:09,00:36:04,2
sumare_nova-mossoro,01:29:12,00:46:12,01:29:12,00:46:12,01:29:12,01:29:12,00:46:12,00:46:12,1
sumare_nova-vida,01:11:00,00:47:57,01:08:18,00:49:21,01:41:21,00:37:26,01:22:26,00:06:55,6
sumare_odete-rosado,01:53:27,01:16:44,01:53:27,01:16:44,01:57:29,01:49:26,01:18:01,01:15:27,2
sumare_partage-shopping,01:29:29,01:07:35,01:37:57,01:17:09,01:49:18,00:56:04,01:25:09,00:35:34,5
sumare_teatro-municipal-dix-huit-rosado,01:09:01,00:48:12,01:12:45,00:52:01,01:40:59,00:41:00,01:20:01,00:20:10,6
teatro-municipal-dix-huit-rosado_abolicao-5,00:47:49,00:18:49,00:42:33,00:14:53,01:25:01,00:31:13,00:59:56,00:00:53,9
teatro-municipal-dix-huit-rosado_alto-das-brisas,01:22:20,01:07:09,01:22:20,01:07:09,01:22:20,01:22:20,01:07:09,01:07:09,1
teatro-municipal-dix-huit-rosado_bom-pastor,01:04:44,00:35:50,01:02:13,00:34:56,01:17:53,00:53:35,00:53:38,00:24:15,6
teatro-municipal-dix-huit-rosado_cidade-oeste,00:44:14,00:32:55,00:44:14,00:32:55,00:44:14,00:44:14,00:32:55,00:32:55,1
teatro-municipal-dix-huit-rosado_nova-mossoro,01:16:55,00:42:47,01:24:04,00:49:56,01:30:13,00:49:21,00:56:00,00:15:16,4
teatro-municipal-dix-huit-rosado_nova-vida,00:49:21,00:23:27,00:44:43,00:20:54,01:22:21,00:35:13,00:50:22,00:08:28,8
teatro-municipal-dix-huit-rosado_odete-rosado,00:52:04,00:26:20,00:51:55,00:25:15,00:57:32,00:46:53,00:35:23,00:19:28,4
teatro-municipal-dix-huit-rosado_partage-shopping,00:47:42,00:37:43,00:49:21,00:39:13,00:57:57,00:32:09,00:48:01,00:22:10,7
teatro-municipal-dix-huit-rosado_sumare,01:03:35,00:45:51,01:00:00,00:42:05,01:38:24,00:34:17,01:20:32,00:16:33,6
