person,Tempo médio de viagem,Tempo médio de espera,Mediana do tempo de viagem,Mediana do tempo de espera,Viagem mais demorada,Viagem mais curta,Viagem com mais espera,Viagem com menos espera,Quantidade de viagens
abolicao-5_bom-pastor,01:49:57,01:05:30,01:57:46,01:11:08,02:14:45,01:17:54,01:23:18,00:38:50,9
abolicao-5_cidade-oeste,01:44:24,01:08:14,01:44:24,01:08:14,01:44:24,01:44:24,01:08:14,01:08:14,1
abolicao-5_nova-mossoro,01:37:39,00:57:53,01:39:13,00:59:45,02:04:12,01:04:19,01:16:23,00:32:43,6
abolicao-5_nova-vida,01:16:51,00:36:50,01:20:13,00:37:31,01:40:18,00:44:10,01:05:25,00:09:27,16
abolicao-5_odete-rosado,01:53:51,01:15:51,01:54:26,01:16:25,01:57:41,01:49:26,01:19:36,01:11:33,3
abolicao-5_partage-shopping,01:17:38,00:49:25,01:15:30,00:46:50,01:50:14,00:47:17,01:21:12,00:20:27,12
abolicao-5_sumare,01:23:54,00:50:44,01:27:18,00:54:24,01:59:29,00:54:27,01:26:34,00:21:33,11
abolicao-5_teatro-municipal-dix-huit-rosado,00:39:58,00:24:49,00:41:17,00:26:07,01:05:03,00:18:23,00:49:52,00:03:18,17
alto-das-brisas_abolicao-5,01:50:39,01:11:28,01:50:39,01:11:28,01:50:39,01:50:39,01:11:28,01:11:28,1
alto-das-brisas_bom-pastor,01:57:50,01:20:14,01:57:50,01:20:14,01:57:50,01:57:50,01:20:14,01:20:14,1
alto-das-brisas_nova-vida,01:16:19,00:47:20,01:16:19,00:47:20,01:16:19,01:16:19,00:47:20,00:47:20,1
alto-das-brisas_partage-shopping,01:41:12,01:20:49,01:41:12,01:20:49,01:41:12,01:41:12,01:20:49,01:20:49,1
alto-das-brisas_sumare,02:00:35,01:23:24,02:00:35,01:23:24,02:00:35,02:00:35,01:23:24,01:23:24,1
alto-das-brisas_teatro-municipal-dix-huit-rosado,01:00:31,00:40:31,01:00:31,00:40:31,01:00:31,01:00:31,00:40:31,00:40:31,1
bom-pastor_abolicao-5,01:27:20,00:48:27,01:30:53,00:43:34,01:54:26,01:00:22,01:23:06,00:25:51,12
bom-pastor_cidade-oeste,01:44:25,01:17:50,01:44:25,01:17:50,01:44:25,01:44:25,01:17:50,01:17:50,1
bom-pastor_nova-mossoro,01:36:12,00:51:02,01:38:32,00:53:20,02:30:15,00:47:51,01:25:52,00:09:01,8
bom-pastor_nova-vida,01:16:21,00:43:08,01:18:20,00:38:27,01:59:18,00:38:14,01:15:00,00:12:49,14
bom-pastor_odete-rosado,01:46:47,01:07:29,01:49:27,01:00:24,01:57:42,01:25:09,01:26:01,00:52:22,5
