,Acessibilidade da parada,Latitude,Longitude
parada_Igreja_Sao_Vicente,3241759,-5.192811000000005,-37.345127
parada_CIEE,3263424,-5.189851999999997,-37.34333
parada_Supermercado_Cidade_Alternativo_Volta,3269380,-5.190267583088853,-37.3471856117241
parada_Rua_Doutor_Joao_Marcelino_Volta0,3274502,-5.187383999999994,-37.344933
parada_Rua_Doutor_Joao_Marcelino_Ida2,3274676,-5.187430082434668,-37.34496809541818
parada_Praca_de_Eventos_Ida,3283081,-5.187665000000004,-37.3435
parada_Shopping_Boulevard,3302314,-5.193782887453011,-37.34571039676551
parada_Supermercado_Cidade_Alternativo_Ida,3305984,-5.190652237404609,-37.34730631112637
parada_Estacao_das_Artes,3305989,-5.189035000000003,-37.34463
terminal_Praca_Felipe_Guerra,3306971,-5.194237999999998,-37.34481
parada_Wi_Fitness,3328328,-5.192986870394313,-37.34871983527994
parada_Hotel_Caraubas,3351162,-5.190096625538894,-37.342168539762845
parada_Nossa_Corretora_de_Seguros,3365143,-5.190291990000049,-37.34693610999891
parada_Loterica_Sorteca,3365617,-5.191388155257373,-37.34343454241876
parada_Cemiterio_Sao_Sebastiao,3374853,-5.189768066361183,-37.34687983989782
parada_Livraria_Independencia,3378989,-5.193030277392096,-37.34180979431121
parada_Lojas_Americanas_Centro,3381922,-5.195403633825305,-37.34676115214686
parada_Teatro_Municipal_Dix_Huit_Rosado,3383389,-5.190170000000009,-37.34537
parada_Catedral_de_Santa_Luzia,3386581,-5.1921240722602935,-37.34108358621931
parada_UERN_Nucleo_de_Pratica_Juridica,3388223,-5.192065305772609,-37.34739348292289
parada_Praca_Gazeta,3393820,-5.194996120000353,-37.34341389999592
parada_Central,3409380,-5.192625999999999,-37.34291
parada_Praca_da_Convivencia,3434223,-5.1930082399915305,-37.34798491000839
parada_Praca_Antonio_Gomes,3448398,-5.189955051277868,-37.33855292201134
parada_Arte_da_Terra,3453669,-5.195695400000004,-37.34128599999999
parada_Praca_dos_Esportes,3457879,-5.195603973017117,-37.34967000782606
parada_Rua_Silva_Jardim_Volta0,3463233,-5.192053285361318,-37.35109493136704
parada_Mercado_Central,3463514,-5.191422,-37.343002
parada_Praca_do_Patins_Sadraque_Tavares,3475194,-5.193773999999999,-37.348545
parada_Rua_Nisia_Floresta_Ida0,3480095,-5.196254407138752,-37.34852470457242
parada_EM_Professor_Manoel_Assis,3498411,-5.195182592848795,-37.3504659533462
parada_Igreja_Universal_do_Reino_de_Deus_Centro,3498542,-5.189400000000005,-37.33865699999999
parada_Holanda_Pneus,3498980,-5.196683800139042,-37.34744846820854
parada_FMA_Imobiliaria,3500641,-5.191185143528479,-37.339974492788144
parada_Rua_Nisia_Floresta_Ida1,3504921,-5.196965999999997,-37.347282
parada_Instituto_Aquarela,3514850,-5.194883419435989,-37.35099971294729
parada_Igreja_Sao_Joao_Ida,3518832,-5.191285313798203,-37.35233545303145
parada_EE_Onzieme_Rosado_Fernandes,3523272,-5.193374999999997,-37.35186
parada_Praca_dos_Hospitais,3527730,-5.1866033382561,-37.34420232474862
parada_Caixa_Economica_Federal,3527826,-5.195234681064318,-37.344471886752416
parada_Rua_Nisia_Floresta_Ida2,3529818,-5.19755994794447,-37.34627902507624
parada_Cemiterio_Sao_Sebastiao_Lateral_Ida,3535122,-5.188731634687941,-37.34948426485462
parada_Rua_Antonio_Reis_Ida0,3537039,-5.197367622923678,-37.34869033098581
