person,Tempo médio de viagem,Tempo médio de espera,Mediana do tempo de viagem,Mediana do tempo de espera,Viagem mais demorada,Viagem mais curta,Viagem com mais espera,Viagem com menos espera,Quantidade de viagens
abolicao-5_bom-pastor,02:19:57,01:35:01,01:53:08,01:08:05,03:38:11,01:39:24,02:52:44,00:54:51,29
abolicao-5_cidade-oeste,01:37:22,00:59:24,01:37:22,00:59:24,01:44:44,01:30:01,01:06:28,00:52:20,16
abolicao-5_nova-mossoro,02:12:51,01:22:27,02:12:51,01:22:27,02:20:10,02:05:33,01:29:28,01:15:26,16
abolicao-5_nova-vida,02:30:05,01:53:25,02:16:48,01:40:32,03:59:18,01:27:21,03:22:08,00:50:44,48
abolicao-5_odete-rosado,01:51:13,01:12:02,01:51:13,01:12:02,01:54:40,01:47:47,01:15:11,01:08:53,8
abolicao-5_partage-shopping,02:32:13,02:01:22,02:21:56,01:51:12,03:51:23,01:35:46,03:19:50,01:05:24,40
abolicao-5_sumare,01:48:35,01:13:36,01:24:59,00:50:01,02:46:29,01:14:17,02:11:11,00:39:36,24
abolicao-5_teatro-municipal-dix-huit-rosado,01:56:03,01:40:15,01:54:27,01:38:38,03:30:15,00:30:36,03:13:52,00:15:21,48
alto-das-brisas_abolicao-5,02:51:18,02:10:50,02:51:18,02:10:50,02:51:18,02:51:18,02:10:50,02:10:50,1
alto-das-brisas_bom-pastor,02:57:24,02:18:52,02:57:24,02:18:52,02:57:24,02:57:24,02:18:52,02:18:52,1
alto-das-brisas_nova-vida,02:15:36,01:46:03,02:15:36,01:46:03,02:17:05,02:14:08,01:47:20,01:44:47,4
alto-das-brisas_partage-shopping,03:30:55,03:06:33,03:30:55,03:06:33,03:31:55,03:29:56,03:07:26,03:05:40,2
alto-das-brisas_sumare,04:30:05,03:51:32,04:30:05,03:51:32,04:31:34,04:28:37,03:52:50,03:50:14,4
alto-das-brisas_teatro-municipal-dix-huit-rosado,01:59:25,01:39:05,01:59:25,01:39:05,02:00:54,01:57:57,01:40:22,01:37:49,4
bom-pastor_abolicao-5,03:11:39,02:15:56,02:57:08,02:09:41,04:53:37,01:29:40,03:53:10,00:24:52,46
bom-pastor_cidade-oeste,01:43:52,01:16:14,01:43:52,01:16:14,01:44:52,01:42:53,01:17:08,01:15:20,2
bom-pastor_nova-mossoro,03:12:16,02:09:43,03:40:06,02:31:37,03:55:20,02:09:27,02:48:31,01:02:42,24
bom-pastor_nova-vida,02:53:54,02:05:18,02:38:58,01:57:37,04:44:09,01:09:45,03:48:51,00:15:10,49
bom-pastor_partage-shopping,02:58:23,02:38:05,02:37:31,02:17:06,04:12:31,01:47:38,03:52:03,01:27:29,15
bom-pastor_sumare,02:57:26,02:15:22,03:55:25,03:01:59,03:59:46,01:26:07,03:06:11,01:01:18,10
bom-pastor_teatro-municipal-dix-huit-rosado,02:52:22,02:22:59,02:54:16,02:12:36,04:27:59,00:57:41,03:51:40,00:51:59,44
cidade-oeste_abolicao-5,02:56:09,02:14:35,03:32:35,02:51:11,03:35:32,02:04:38,02:53:53,01:23:07,7
