,Latitude,Longitude
terminal_Carcara,-5.195006294242609,-37.34307646751457
terminal_Praca_Felipe_Guerra,-5.194237999999998,-37.34481
parada_Rua_Doutor_Joao_Marcelino_Volta0,-5.187383999999994,-37.344933
parada_Rua_Doutor_Mario_Negocio0,-5.190430000000009,-37.34026
parada_Rua_Ferreira_Itajuba_Ida0,-5.185028000000004,-37.345562
parada_Rua_Nisia_Floresta_Ida0,-5.196254407138752,-37.34852470457242
parada_Rua_Nisia_Floresta_Ida1,-5.196965999999997,-37.347282
parada_Rua_Nisia_Floresta_Ida2,-5.19755994794447,-37.346279025076235
parada_Rua_Prudente_de_Morais0,-5.186920546365229,-37.338701784612866
parada_ADVM,-5.183932773537891,-37.347485348578466
parada_AeC,-5.1978350794755555,-37.34524101018615
parada_Caixa_Economica_Federal,-5.195234681064318,-37.344471886752416
parada_Catedral_de_Santa_Luzia,-5.1921240722602935,-37.34108358621931
parada_Central,-5.192625999999999,-37.342909999999996
parada_CIEE,-5.189851999999997,-37.34333
parada_Cirne_Pneus_Mossoro,-5.185855394284256,-37.3404378443956
parada_Cobal,-5.188632799612259,-37.33754172920766
parada_Colegio_Diocesano_Santa_Luzia_Ida,-5.185355206260858,-37.3477944731689
parada_Colegio_Diocesano_Santa_Luzia_Volta,-5.185277740524462,-37.34771132469299
parada_EE_Jeronimo_Rosado_Ida,-5.18306595615455,-37.34896056353704
parada_EE_Jeronimo_Rosado_Volta,-5.182901006951456,-37.34885193407859
parada_Estacao_das_Artes,-5.189035000000003,-37.34463
parada_FMA_Imobiliaria,-5.191185143528479,-37.339974492788144
parada_Holanda_Pneus,-5.196683800139042,-37.34744846820854
parada_Hotel_Caraubas,-5.190096625538894,-37.342168539762845
parada_Igreja_Sao_Vicente,-5.192811000000005,-37.345127
parada_Igreja_Universal_do_Reino_de_Deus_Centro,-5.189400000000005,-37.33865699999999
parada_Livraria_Independencia,-5.193030277392096,-37.34180979431121
parada_Loterica_Sorteca,-5.191388155257373,-37.34343454241876
parada_Mercado_Central,-5.191422,-37.343002
parada_Nossa_Corretora_de_Seguros,-5.190291990000049,-37.34693610999891
parada_Oficinas,-5.197364000000007,-37.345805999999996
parada_Praca_Antonio_Gomes,-5.189955051277868,-37.33855292201134
parada_Praca_da_Convivencia,-5.1930082399915305,-37.34798491000839
parada_Praca_de_Eventos_Ida,-5.187665000000004,-37.3435
parada_Praca_do_Patins_Sadraque_Tavares,-5.193773999999999,-37.348545
parada_Praca_dos_Esportes,-5.195603973017117,-37.34967000782606
parada_Praca_dos_Hospitais,-5.1866033382561,-37.34420232474862
parada_Praca_Gazeta,-5.194996120000353,-37.343413899995916
parada_Reboucas_Supermercados_Centro,-5.185316473393848,-37.341379970309504
parada_Shopping_Boulevard,-5.193782887453011,-37.34571039676551
parada_Teatro_Municipal_Dix_Huit_Rosado,-5.190170000000009,-37.34537
parada_UERN_Nucleo_de_Pratica_Juridica,-5.192065305772609,-37.34739348292289
parada_Avenida_Presidente_Dutra_Ida0,-5.218010000000003,-37.328224
parada_BR_304_Sul_Ida0,-5.227619358608035,-37.32263401150994
parada_Arte_da_Terra,-5.1956954000000035,-37.34128599999999
parada_FACENE_Ida,-5.215419300000006,-37.329662
parada_Farmacia_da_familia,-5.20452170000001,-37.336723
parada_Fic_Frio_Alto_de_Sao_Manoel,-5.206146398984885,-37.33549587428705
parada_Hotel_VillaOeste_Ida,-5.200675204454709,-37.33886472880953
parada_Hotel_VillaOeste_Volta,-5.200468856746145,-37.33915776014454
parada_Izamar_Supermercado,-5.2085457495138625,-37.33405284583933
parada_JPL_Motos_Ilha_de_Santa_Luzia_Ida,-5.201885909838303,-37.33812376856607
parada_JPL_Motos_Ilha_de_Santa_Luzia_Volta,-5.201975393764838,-37.338269948959855
parada_L_E_Pneus,-5.204147299999998,-37.336802999999996
parada_Lino_Brita,-5.2228288074226095,-37.32549458742284
parada_Locavelthe,-5.209857000000006,-37.33352
parada_O_Sebosao,-5.196748,-37.341312
parada_Oeste_Trigo,-5.212936410401745,-37.331241220240166
parada_Pousada_Mossoro,-5.207353754921425,-37.33499698340455
parada_Ida_Volta_Linha1_Linha2,-5.142080000000005,-37.346717999999996
parada_Ida_Volta_Linha4,-5.138637000000003,-37.3627
parada_Avenida_Abel_Coelho_Ida0,-5.166332,-37.35919
parada_Avenida_Abel_Coelho_Volta0,-5.172334818766085,-37.354333028194745
parada_Avenida_Abel_Coelho_Ida1,-5.167588591485185,-37.35806398093303
parada_Avenida_Abel_Coelho_Volta1,-5.168206999999999,-37.35724
parada_Avenida_Abel_Coelho_Ida2,-5.172368877673948,-37.35447317361662
parada_Avenida_Abel_Coelho_Volta2,-5.166305999999994,-37.359016
parada_Avenida_Benjamin_Soares_Cardoso_Ida0,-5.1414785000000105,-37.365917
parada_Avenida_Benjamin_Soares_Cardoso_Volta0,-5.143739000000003,-37.36837799999999
parada_Avenida_Benjamin_Soares_Cardoso_Ida1,-5.142097999999998,-37.36656599999999
parada_Avenida_Benjamin_Soares_Cardoso_Volta1,-5.143191073803631,-37.36776016652738
parada_Avenida_Benjamin_Soares_Cardoso_Ida2,-5.142601000000003,-37.36714599999999
parada_Avenida_Benjamin_Soares_Cardoso_Volta2,-5.142590006307452,-37.3670554161064
parada_Avenida_Benjamin_Soares_Cardoso_Ida3,-5.144417300000002,-37.369225
parada_Avenida_Benjamin_Soares_Cardoso_Volta3,-5.141840674699891,-37.36621588468801
parada_Avenida_Benjamin_Soares_Cardoso_Ida4,-5.1449356,-37.370079999999994
parada_Avenida_Benjamin_Soares_Cardoso_Volta4,-5.140836221684204,-37.36509069800141
parada_Avenida_Benjamin_Soares_Cardoso_Volta5,-5.140241830526449,-37.36438393592911
parada_Avenida_Benjamin_Soares_Cardoso_Volta6,-5.139415024817184,-37.36354306339787
parada_Avenida_da_Integracao_Ida0,-5.142911400000005,-37.35593
parada_Avenida_da_Integracao_Volta0,-5.146415000000001,-37.35742
parada_Avenida_da_Integracao_Ida1,-5.144802000000005,-37.356853
parada_Avenida_da_Integracao_Volta1,-5.144727000000006,-37.356636
parada_Avenida_da_Integracao_Ida2,-5.146449600000002,-37.35764999999999
parada_Avenida_da_Integracao_Volta2,-5.142793,-37.35574999999999
parada_Avenida_Presidente_Costa_e_Silva_Ida0,-5.149638000000004,-37.365807
parada_Avenida_Presidente_Costa_e_Silva_Volta0,-5.162693500000003,-37.35690699999999
parada_Avenida_Presidente_Costa_e_Silva_Ida1,-5.150599000000002,-37.365284
parada_Avenida_Presidente_Costa_e_Silva_Volta1,-5.161727400000002,-37.357628
parada_Avenida_Presidente_Costa_e_Silva_Ida2,-5.15251800000001,-37.364135999999995
parada_Avenida_Presidente_Costa_e_Silva_Volta2,-5.160725600000006,-37.358383
parada_Avenida_Presidente_Costa_e_Silva_Ida3,-5.15336750000001,-37.363647
parada_Avenida_Presidente_Costa_e_Silva_Volta3,-5.159631000000005,-37.359173
parada_Avenida_Presidente_Costa_e_Silva_Ida4,-5.15660330000001,-37.361515
parada_Avenida_Presidente_Costa_e_Silva_Volta4,-5.156655000000006,-37.36136199999999
parada_Avenida_Presidente_Costa_e_Silva_Ida5,-5.1596069999999985,-37.35933299999999
parada_Avenida_Presidente_Costa_e_Silva_Volta5,-5.153208699999999,-37.36361999999999
parada_Avenida_Presidente_Costa_e_Silva_Ida6,-5.160707499999997,-37.358547
parada_Avenida_Presidente_Costa_e_Silva_Volta6,-5.152378000000003,-37.36409999999999
parada_Avenida_Presidente_Costa_e_Silva_Ida7,-5.161728000000002,-37.35776
parada_Avenida_Presidente_Costa_e_Silva_Volta7,-5.1506100000000075,-37.365154
parada_Avenida_Presidente_Costa_e_Silva_Ida8,-5.1625543,-37.357116999999995
parada_Avenida_Santa_Luzia_Ida0,-5.1545153,-37.353184
parada_Avenida_Santa_Luzia_Volta0,-5.150539999999996,-37.35995499999999
parada_Avenida_Santa_Luzia_Ida1,-5.154159499999999,-37.35444
parada_Avenida_Santa_Luzia_Volta1,-5.151196,-37.359016
parada_Avenida_Santa_Luzia_Ida2,-5.153553500000004,-37.35539
parada_Avenida_Santa_Luzia_Volta2,-5.151776000000001,-37.35819
parada_Avenida_Santa_Luzia_Ida3,-5.152933999999997,-37.356285
parada_Avenida_Santa_Luzia_Volta3,-5.152303700000006,-37.357334
parada_Avenida_Santa_Luzia_Ida4,-5.152290300000004,-37.35719
parada_Avenida_Santa_Luzia_Volta4,-5.152964000000003,-37.35644
parada_Avenida_Santa_Luzia_Ida5,-5.1517634000000045,-37.358039999999995
parada_Avenida_Santa_Luzia_Volta5,-5.153561999999998,-37.35554
parada_Avenida_Santa_Luzia_Ida6,-5.151182700000006,-37.358868
parada_Avenida_Santa_Luzia_Volta6,-5.154149500000004,-37.354645
parada_Avenida_Santa_Luzia_Ida7,-5.150534600000002,-37.359787
parada_Avenida_Santa_Luzia_Volta7,-5.154718000000004,-37.353263999999996
parada_Avenida_Sao_Jeronimo_Ida0,-5.149231000000001,-37.357943999999996
parada_Avenida_Sao_Jeronimo_Volta0,-5.152775000000007,-37.352416999999996
parada_Avenida_Sao_Jeronimo_Ida1,-5.150168,-37.35656
parada_Avenida_Sao_Jeronimo_Volta1,-5.151876000000002,-37.353897
parada_Avenida_Sao_Jeronimo_Ida2,-5.151099999999997,-37.355167
parada_Avenida_Sao_Jeronimo_Volta2,-5.151058000000002,-37.355056999999995
parada_Avenida_Sao_Jeronimo_Ida3,-5.151878000000011,-37.35401499999999
parada_Avenida_Sao_Jeronimo_Volta3,-5.150134000000005,-37.356316
parada_Avenida_Sao_Jeronimo_Ida4,-5.152816299999997,-37.352675999999995
parada_Avenida_Sao_Jeronimo_Volta4,-5.149247000000001,-37.357677
parada_Avenida_Senador_Petronio_Portela_Ida0,-5.145557000000003,-37.37044
parada_Avenida_Senador_Petronio_Portela_Volta0,-5.147793896290579,-37.369115352631134
parada_Avenida_Senador_Petronio_Portela_Ida1,-5.146373,-37.36997
parada_Avenida_Senador_Petronio_Portela_Volta1,-5.145950000000001,-37.370186
parada_Avenida_Senador_Petronio_Portela_Ida2,-5.1466790000000024,-37.369812
parada_Avenida_Senador_Petronio_Portela_Ida3,-5.147222000000009,-37.36952
parada_Avenida_Senador_Petronio_Portela_Ida4,-5.148138000000003,-37.369009999999996
parada_Avenida_Senador_Petronio_Portela_Ida5,-5.149107000000009,-37.36844599999999
parada_Rua_Antonia_das_Merces_Reinaldo_Ida0,-5.141019213910562,-37.360500097277686
parada_Rua_Antonia_das_Merces_Reinaldo_Ida1,-5.141999623907069,-37.3592635989159
parada_Rua_Antonio_Vitor_de_Melo_Ida0,-5.149175999999998,-37.36374299999999
parada_Rua_Antonio_Vitor_de_Melo_Volta0,-5.149152000000005,-37.363884
parada_Rua_Campos_Sales_Ida0,-5.180185015256722,-37.34820485115101
parada_Rua_Doutor_Joao_Marcelino_Ida0,-5.177195207121702,-37.35557556151946
parada_Rua_Doutor_Joao_Marcelino_Ida1,-5.178351196712179,-37.35444769263409
parada_Rua_Doutor_Joao_Marcelino_Volta1,-5.178306453074772,-37.35439538955618
parada_Rua_Doutor_Joao_Marcelino_Ida2,-5.187430082434668,-37.34496809541818
parada_Rua_Doutor_Joao_Marcelino_Volta2,-5.177140446152024,-37.35550448298735
parada_Rua_Elita_Rodrigues_Ida0,-5.140792143260513,-37.35924750566047
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,-5.137764081610835,-37.365018948912876
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida1,-5.138254289302742,-37.365566790100125
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida2,-5.138731139481307,-37.36609652638062
parada_Rua_Francisco_Alves_da_Silva_Ida0,-5.149423600000008,-37.365067
parada_Rua_Francisco_Alves_da_Silva_Volta0,-5.1494417,-37.364933
parada_Rua_Francisco_Gomes_Monteiro_Ida0,-5.138769999999999,-37.352706999999995
parada_Rua_Francisco_Gomes_Monteiro_Volta0,-5.138668500000003,-37.353027
parada_Rua_Monsenhor_Gurgel0,-5.178197000000009,-37.34771
parada_Rua_Monsenhor_Gurgel1,-5.176063000000002,-37.35124
parada_Rua_Sem_Nome_Santa_Julia_Ida0,-5.139977359673847,-37.36169368028865
parada_Rua_Sem_Nome_Santa_Julia_Ida1,-5.141633639974184,-37.35834896564482
parada_Rua_Sem_Nome_Santa_Julia_Ida2,-5.139771660044909,-37.3592501878772
parada_Rua_Sem_Nome_Santa_Julia_Ida3,-5.139234703555112,-37.360132634637424
