person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
nova-mossoro-cidade-oeste-5;1;nova-mossoro-cidade-oeste-5_1;05:00:00;04:18:57;00:55:04;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-6;1;nova-mossoro-cidade-oeste-6_1;06:00:00;05:01:04;01:37:04;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-7;1;nova-mossoro-cidade-oeste-7_1;07:00:00;04:01:05;00:37:08;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-8;1;nova-mossoro-cidade-oeste-8_1;08:00:00;04:57:10;00:53:25;32163;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha1_Linha2;parada_Rua_Antonio_Geraldo_de_Medeiros_Volta0
nova-mossoro-cidade-oeste-9;1;nova-mossoro-cidade-oeste-9_1;09:00:00;05:29:13;02:05:04;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-10;1;nova-mossoro-cidade-oeste-10_1;10:00:00;04:29:14;01:05:08;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-11;1;nova-mossoro-cidade-oeste-11_1;11:00:00;03:29:15;00:05:13;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-12;1;nova-mossoro-cidade-oeste-12_1;12:00:00;04:12:23;01:28:32;30062;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Rua_Antonio_Geraldo_de_Medeiros_Volta0
nova-mossoro-cidade-oeste-13;1;nova-mossoro-cidade-oeste-13_1;13:00:00;04:37:03;01:53:14;30062;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Rua_Antonio_Geraldo_de_Medeiros_Volta0
nova-mossoro-cidade-oeste-14;1;nova-mossoro-cidade-oeste-14_1;14:00:00;03:37:04;00:53:17;30062;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Rua_Antonio_Geraldo_de_Medeiros_Volta0
nova-mossoro-cidade-oeste-15;1;nova-mossoro-cidade-oeste-15_1;15:00:00;03:35:39;02:37:39;25985;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Avenida_Mossoro_Volta0
nova-mossoro-cidade-oeste-16;1;nova-mossoro-cidade-oeste-16_1;16:00:00;02:35:40;01:37:44;25985;15349;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Avenida_Mossoro_Volta0
nova-mossoro-cidade-oeste-17;1;nova-mossoro-cidade-oeste-17_1;17:00:00;04:34:06;01:10:04;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-cidade-oeste-18;1;nova-mossoro-cidade-oeste-18_1;18:00:00;03:34:07;00:10:09;26079;15349;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;343522981_3;-4161343.713503;-584777.528682;parada_Ida_Volta_Linha12;parada_Oficinas
nova-mossoro-abolicao-5-5;1;nova-mossoro-abolicao-5-5_1;05:00:00;02:24:10;01:39:39;8040;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-6;1;nova-mossoro-abolicao-5-6_1;06:00:00;01:51:48;00:00:00;5590;4288;;walk;walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;;
nova-mossoro-abolicao-5-7;1;nova-mossoro-abolicao-5-7_1;07:00:00;01:41:27;00:37:09;7932;4288;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Comercial_Gerdau_Ida
nova-mossoro-abolicao-5-8;1;nova-mossoro-abolicao-5-8_1;08:00:00;01:49:57;00:01:31;5776;4288;;walk;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha4;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-9;1;nova-mossoro-abolicao-5-9_1;09:00:00;01:51:48;00:00:00;5590;4288;;walk;walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;;
nova-mossoro-abolicao-5-10;1;nova-mossoro-abolicao-5-10_1;10:00:00;02:42:22;01:46:28;12970;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Avenida_Benjamin_Soares_Cardoso_Volta6
nova-mossoro-abolicao-5-11;1;nova-mossoro-abolicao-5-11_1;11:00:00;01:42:23;00:46:33;12970;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Avenida_Benjamin_Soares_Cardoso_Volta6
nova-mossoro-abolicao-5-12;1;nova-mossoro-abolicao-5-12_1;12:00:00;01:51:23;00:47:05;7932;4288;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Comercial_Gerdau_Ida
nova-mossoro-abolicao-5-13;1;nova-mossoro-abolicao-5-13_1;13:00:00;01:51:48;00:00:00;5590;4288;;walk;walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;;
nova-mossoro-abolicao-5-14;1;nova-mossoro-abolicao-5-14_1;14:00:00;01:39:26;00:35:08;7932;4288;;pt;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Comercial_Gerdau_Ida
nova-mossoro-abolicao-5-15;1;nova-mossoro-abolicao-5-15_1;15:00:00;02:39:37;01:59:50;12134;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-16;1;nova-mossoro-abolicao-5-16_1;16:00:00;01:39:38;00:59:55;12134;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-17;1;nova-mossoro-abolicao-5-17_1;17:00:00;02:25:00;01:26:11;18463;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-18;1;nova-mossoro-abolicao-5-18_1;18:00:00;01:25:01;00:26:16;18463;4288;;pt;walk-pt-walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha12;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
nova-mossoro-abolicao-5-19;1;nova-mossoro-abolicao-5-19_1;19:00:00;01:51:48;00:00:00;5590;4288;;walk;walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;;
nova-mossoro-abolicao-5-20;1;nova-mossoro-abolicao-5-20_1;20:00:00;01:51:48;00:00:00;5590;4288;;walk;walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;;
nova-mossoro-abolicao-5-21;1;nova-mossoro-abolicao-5-21_1;21:00:00;02:15:04;00:26:36;5776;4288;;walk;walk-pt-walk;home;home;null;260630609_14;-4155795.727843024;-570465.2166168323;null;356782826_3;-4159454.882874;-572701.299314;parada_Ida_Volta_Linha4;parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0
