route,accessibility
parada_Ida_Volta_Linha12 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Ida_Volta_Linha12 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha12 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,2.424680564895763
parada_Ida_Volta_Linha17 parada_Ida_Volta_Linha8,1.0
parada_Ida_Volta_Linha17 parada_Teatro_Municipal_Dix_Huit_Rosado,1.4841875681570333
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha8,1.0
parada_Ida_Volta_Linha19 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha19 parada_Teatro_Municipal_Dix_Huit_Rosado,1.0
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha12,1.0
parada_Ida_Volta_Linha8 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha8 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Ida_Volta_Linha8 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha8 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.5378684807256238
parada_Ida_Volta_Linha8 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha8 parada_Teatro_Municipal_Dix_Huit_Rosado,2.8988607946651843
parada_Partage_Shopping parada_Ida_Volta_Linha12,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha17,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha19,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha8,2.690168818272095
parada_Partage_Shopping parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,3.2940643407340278
parada_Partage_Shopping parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.9412690089145253
parada_Partage_Shopping parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,6.200241740531829
parada_Partage_Shopping parada_Rua_da_Pitomba_Volta0,1.0
parada_Partage_Shopping parada_Teatro_Municipal_Dix_Huit_Rosado,8.395006570302234
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha12,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha17,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha8,1.5625000000000002
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Partage_Shopping,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.8833600856072759
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,6.101635139467778
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Ida_Volta_Linha17,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Ida_Volta_Linha8,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Partage_Shopping,1.9475341028331585
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.8196378830083575
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Teatro_Municipal_Dix_Huit_Rosado,4.839333531686997
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha12,1.8013245033112582
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha17,2.596231991134097
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha8,2.316510903426791
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Partage_Shopping,4.981343283582089
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,3.2750000000000004
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,2.664808362369337
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_da_Pitomba_Volta0,1.0
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,11.067426871591472
parada_Rua_da_Pitomba_Volta0 parada_Ida_Volta_Linha17,1.0
parada_Rua_da_Pitomba_Volta0 parada_Partage_Shopping,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Rua_da_Pitomba_Volta0 parada_Teatro_Municipal_Dix_Huit_Rosado,1.0
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha12,3.0903662420382165
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha17,3.536756557074252
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha19,1.0
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha8,5.594245449207281
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Partage_Shopping,6.896829810901002
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,7.534080298786181
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,3.055555555555556
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,10.676874340021117
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_da_Pitomba_Volta0,1.0
