route,accessibility
parada_Ida_Volta_Linha12 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Ida_Volta_Linha12 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha12 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,2.114035087719298
parada_Ida_Volta_Linha17 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha17 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha17 parada_Teatro_Municipal_Dix_Huit_Rosado,1.780701754385964
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha8,1.0
parada_Ida_Volta_Linha19 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha19 parada_Teatro_Municipal_Dix_Huit_Rosado,1.0
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha12,1.0
parada_Ida_Volta_Linha8 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha8 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Ida_Volta_Linha8 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha8 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha8 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha8 parada_Teatro_Municipal_Dix_Huit_Rosado,1.8927479855515421
parada_Partage_Shopping parada_Ida_Volta_Linha12,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha17,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha19,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha8,1.9137760158572843
parada_Partage_Shopping parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,3.2986017140279653
parada_Partage_Shopping parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.4661071659134928
parada_Partage_Shopping parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,4.3035066505441355
parada_Partage_Shopping parada_Rua_da_Pitomba_Volta0,1.0
parada_Partage_Shopping parada_Teatro_Municipal_Dix_Huit_Rosado,6.289404322614654
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha12,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha8,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Partage_Shopping,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.3399742930591263
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,3.0712900096993208
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Partage_Shopping,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Teatro_Municipal_Dix_Huit_Rosado,4.255457227138644
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha12,1.808510638297872
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha17,1.3086419753086422
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha8,1.0
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Partage_Shopping,3.3736621684504415
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,2.626128518321827
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.484725050916496
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_da_Pitomba_Volta0,1.0
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,6.68228051391863
parada_Rua_da_Pitomba_Volta0 parada_Ida_Volta_Linha17,1.0
parada_Rua_da_Pitomba_Volta0 parada_Partage_Shopping,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Rua_da_Pitomba_Volta0 parada_Teatro_Municipal_Dix_Huit_Rosado,1.0
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha12,1.5717281879194633
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha17,2.0586419753086416
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha19,1.0
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha8,2.665474771553437
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Partage_Shopping,3.544222078760491
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,4.645910780669145
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,2.1976744186046506
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,6.474815075730891
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_da_Pitomba_Volta0,1.0
