route,accessibility
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha17,1.0
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha19,1.0
parada_Ida_Volta_Linha12 parada_Ida_Volta_Linha8,1.0
parada_Ida_Volta_Linha12 parada_Partage_Shopping,4.289485662266727
parada_Ida_Volta_Linha12 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.329439252336448
parada_Ida_Volta_Linha12 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha12 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,2.979351032448377
parada_Ida_Volta_Linha12 parada_Rua_da_Pitomba_Volta0,1.0
parada_Ida_Volta_Linha12 parada_Teatro_Municipal_Dix_Huit_Rosado,6.436746987951807
parada_Ida_Volta_Linha17 parada_Ida_Volta_Linha19,1.0
parada_Ida_Volta_Linha17 parada_Ida_Volta_Linha8,1.0
parada_Ida_Volta_Linha17 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha17 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha17 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha17 parada_Teatro_Municipal_Dix_Huit_Rosado,2.1396813634679512
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha17,1.0
parada_Ida_Volta_Linha19 parada_Ida_Volta_Linha8,1.8817323709050526
parada_Ida_Volta_Linha19 parada_Partage_Shopping,1.0
parada_Ida_Volta_Linha19 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha19 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.0
parada_Ida_Volta_Linha19 parada_Teatro_Municipal_Dix_Huit_Rosado,1.7662409772348695
parada_Ida_Volta_Linha8 parada_Ida_Volta_Linha12,1.0
parada_Ida_Volta_Linha8 parada_Partage_Shopping,2.683079056865465
parada_Ida_Volta_Linha8 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Ida_Volta_Linha8 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Ida_Volta_Linha8 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,4.37371888726208
parada_Ida_Volta_Linha8 parada_Teatro_Municipal_Dix_Huit_Rosado,4.947207557654903
parada_Partage_Shopping parada_Ida_Volta_Linha12,1.9116883116883123
parada_Partage_Shopping parada_Ida_Volta_Linha17,1.1399235912129893
parada_Partage_Shopping parada_Ida_Volta_Linha19,1.0
parada_Partage_Shopping parada_Ida_Volta_Linha8,3.6375390102541245
parada_Partage_Shopping parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,5.245471014492754
parada_Partage_Shopping parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,2.3796477495107626
parada_Partage_Shopping parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,10.387564141261695
parada_Partage_Shopping parada_Rua_da_Pitomba_Volta0,1.0
parada_Partage_Shopping parada_Teatro_Municipal_Dix_Huit_Rosado,14.517613038906413
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha12,1.0
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha17,1.7999999999999994
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Ida_Volta_Linha8,3.1697560975609766
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Partage_Shopping,2.691497975708502
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,4.703841387856257
parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,11.802692664809658
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Ida_Volta_Linha17,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Ida_Volta_Linha8,3.36229674796748
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Partage_Shopping,3.9059020044543438
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,6.212659633536925
parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5 parada_Teatro_Municipal_Dix_Huit_Rosado,11.884041331802525
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha12,2.435627081021088
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha17,3.910480349344978
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha19,1.0
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Ida_Volta_Linha8,5.337965536409116
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Partage_Shopping,8.997790404040405
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,6.838196286472149
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,2.711927981995498
parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0 parada_Teatro_Municipal_Dix_Huit_Rosado,22.20729684908789
parada_Rua_da_Pitomba_Volta0 parada_Ida_Volta_Linha17,1.0
parada_Rua_da_Pitomba_Volta0 parada_Partage_Shopping,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,1.0
parada_Rua_da_Pitomba_Volta0 parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,1.508615897720956
parada_Rua_da_Pitomba_Volta0 parada_Teatro_Municipal_Dix_Huit_Rosado,1.6031128404669261
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha12,6.321678321678322
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha17,4.662299854439592
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha19,1.1811561219845244
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Ida_Volta_Linha8,12.438996250360542
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Partage_Shopping,14.688815969373804
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Expedicionario_Claudionor_Amancio_de_Oliveira_Ida0,18.3878855237566
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Francisca_da_Nobrega_Gurjel_Volta5,5.748625870282154
parada_Teatro_Municipal_Dix_Huit_Rosado parada_Rua_Sem_Nome_Jardim_das_Palmeiras_Ida0,20.920219244823386
