stop,latitude,longitude,accessibility
parada_Igreja_Sao_Vicente,-5.192811000000005,-37.345127,3241759
parada_CIEE,-5.189851999999997,-37.34333,3263424
parada_Supermercado_Cidade_Alternativo_Volta,-5.190267583088853,-37.3471856117241,3269380
parada_Rua_Doutor_Joao_Marcelino_Volta0,-5.187383999999994,-37.344933,3274502
parada_Rua_Doutor_Joao_Marcelino_Ida2,-5.187430082434668,-37.34496809541818,3274676
parada_Praca_de_Eventos_Ida,-5.187665000000004,-37.3435,3283081
parada_Shopping_Boulevard,-5.193782887453011,-37.34571039676551,3302314
parada_Supermercado_Cidade_Alternativo_Ida,-5.190652237404609,-37.34730631112637,3305984
parada_Estacao_das_Artes,-5.189035000000003,-37.34463,3305989
terminal_Praca_Felipe_Guerra,-5.194237999999998,-37.34481,3306971
parada_Wi_Fitness,-5.192986870394313,-37.348719835279944,3328328
parada_Hotel_Caraubas,-5.190096625538894,-37.342168539762845,3351162
parada_Nossa_Corretora_de_Seguros,-5.190291990000049,-37.34693610999891,3365143
parada_Loterica_Sorteca,-5.191388155257373,-37.34343454241876,3365617
parada_Cemiterio_Sao_Sebastiao,-5.189768066361183,-37.34687983989782,3374853
parada_Livraria_Independencia,-5.193030277392096,-37.34180979431121,3378989
parada_Lojas_Americanas_Centro,-5.195403633825305,-37.34676115214686,3381922
parada_Teatro_Municipal_Dix_Huit_Rosado,-5.190170000000009,-37.34537,3383389
parada_Catedral_de_Santa_Luzia,-5.1921240722602935,-37.34108358621931,3386581
parada_UERN_Nucleo_de_Pratica_Juridica,-5.192065305772609,-37.34739348292289,3388223
parada_Praca_Gazeta,-5.194996120000353,-37.343413899995916,3393820
parada_Central,-5.192625999999999,-37.342909999999996,3409380
parada_Praca_da_Convivencia,-5.1930082399915305,-37.34798491000839,3434223
parada_Praca_Antonio_Gomes,-5.189955051277868,-37.33855292201134,3448398
parada_Arte_da_Terra,-5.1956954000000035,-37.34128599999999,3453669
parada_Praca_dos_Esportes,-5.195603973017117,-37.34967000782606,3457879
parada_Rua_Silva_Jardim_Volta0,-5.192053285361318,-37.35109493136704,3463233
