signal id;x;y;time;signal state
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25210.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25210.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25280.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25280.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25280.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25310.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25310.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25310.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25370.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25370.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25440.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25440.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25440.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25470.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25470.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25470.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25530.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25530.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25600.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25600.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25600.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25630.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25630.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25630.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25690.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25690.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25760.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25760.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25760.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25790.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25790.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25790.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25850.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25850.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25920.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25920.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25920.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25950.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25950.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25950.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26010.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26010.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26080.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26080.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26080.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26110.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26110.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26110.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26170.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26170.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26240.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26240.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26240.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26270.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26270.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26270.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26330.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26330.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26400.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26400.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26400.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26430.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26430.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26430.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26490.0;GREEN
