signal id;x;y;time;signal state
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25260.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25260.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25320.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25320.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25330.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25330.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25340.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25340.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25400.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25400.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25460.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25460.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25470.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25470.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25480.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25480.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25540.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25540.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25600.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25600.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25610.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25610.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25620.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25620.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25680.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25680.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25740.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25740.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25750.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25750.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25760.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25760.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25820.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25820.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25880.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25880.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;25890.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25890.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25900.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;25900.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;25960.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;25960.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26020.0;RED
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26020.0;GREEN
semaforo_Juvenal_Norte_Sul;-4156684.930017325;-577435.3459415314;26030.0;RED
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26030.0;GREEN
semaforo_Delfim_Oeste_Leste;-4156715.5418481934;-577447.6965428555;26040.0;GREEN
semaforo_Juvenal_Sul_Norte;-4156708.6974080964;-577475.2600400343;26040.0;RED
semaforo_Delfim_Leste_Oeste;-4156677.943862214;-577462.871143639;26100.0;GREEN
